,model,n_clusters,sil,dbi,ari,chi,nmi,vmeasure,fmi,aic,bic
0,NMF,2,0.005765525910961241,0.5471278957563042,0.09616785952559827,12794.777295520376,0.07083024588165053,0.07083024588165053,0.5488062323469455,,
1,NMF,3,0.004323292302926939,0.7667308640344683,0.1713137061539375,5330.659485962652,0.16370746540997974,0.16370746540997974,0.5165428308338605,,
2,NMF,4,0.003746572184719598,0.977168943680087,0.11982778228792361,2794.6299358755327,0.1238710647660087,0.1238710647660087,0.44040785473662003,,
3,NMF,5,0.003985638834938038,1.036818135665962,0.09877157427062835,1980.8165834208658,0.10414725015300384,0.10414725015300386,0.40401936070359845,,
4,NMF,6,0.0042028110727887775,1.0931787522901308,0.08849566585600997,1516.0870856362183,0.09423560068850806,0.09423560068850804,0.37726452853151904,,
5,NMF,7,0.002579466963138457,1.216499668684574,0.06455471594049672,1138.135956288639,0.08705932759180601,0.08705932759180601,0.3404962600495466,,
6,NMF,8,0.0033273634111632504,1.1995840698792124,0.06285024220281064,1005.1205959636075,0.08375154873478644,0.08375154873478645,0.33196178503027174,,
7,NMF,9,0.004730297182496064,1.2267072123305967,0.051038762352438684,846.7858423371838,0.07637059108539643,0.07637059108539643,0.2990187927828054,,
8,NMF,10,0.0037193879537274674,1.336523092371268,0.0512803579401354,702.8658348459943,0.0762427112730479,0.0762427112730479,0.28929003566468986,,
9,LDA,2,0.020189354618535285,0.4644738282055863,0.12971682118205793,17624.746051741564,0.09944713928698191,0.09944713928698193,0.5692279829681334,,
10,LDA,3,0.01795066447108002,0.6783867757612981,0.12145578995632682,6380.840300410069,0.0878412368844709,0.0878412368844709,0.5275043927645007,,
11,LDA,4,0.0140350407296747,0.7933469306464138,0.08077717459165903,3597.2758905054434,0.06826799369259633,0.06826799369259631,0.46877670197190235,,
12,LDA,5,0.001131116981810921,0.897281476183486,0.1517299774819244,2565.9611973312926,0.12631226584482627,0.12631226584482627,0.4717396330488821,,
13,LDA,6,-0.0011012452783261968,0.9293746433815234,0.13294427781596366,1925.7191799389961,0.10912448831310964,0.10912448831310965,0.4550309379489743,,
14,LDA,7,-0.004182663410121026,1.0126095555477015,0.1132657955954882,1482.0253406905413,0.10397682204088234,0.10397682204088234,0.4103681732159853,,
15,LDA,8,-0.007298992009185085,1.0323845374207647,0.09854301963359469,1254.0871555334552,0.10161850248343592,0.1016185024834359,0.3842315083458354,,
16,LDA,9,-0.005491357682055944,1.0640221533442444,0.12281949806720309,1067.7391106352447,0.11061377767984276,0.11061377767984276,0.41138813205992597,,
17,LDA,10,-0.005853409765619744,1.0611634050440462,0.0951806784351174,903.585850238772,0.08958826957499202,0.08958826957499202,0.3830772287125329,,
18,VKM,2,0.004574418882987304,16.68895660497237,0.11597362182122356,17.137766178441865,0.09034134145142511,0.0903413414514251,0.5672887209337854,,
19,VKM,3,0.003382787950354512,17.599523180725715,0.13586042481825852,12.70352449568542,0.1310158210166421,0.1310158210166421,0.49599218231006603,,
20,VKM,4,0.0002778540731775791,16.57094478088131,0.10095309162747045,10.875489609579569,0.11846822600120667,0.11846822600120664,0.4316061087070186,,
21,VKM,5,-6.20680604831818e-05,15.211729254414067,0.07670145299938588,10.066401985883815,0.09203147851924678,0.0920314785192468,0.4002304300274029,,
22,VKM,6,0.002481437734720156,15.208422918206649,0.06513350751340914,9.027267992519754,0.07332613696888919,0.0733261369688892,0.3732028561498164,,
23,VKM,7,0.0021061643333734124,14.913020051514223,0.06102234909011601,8.172711775708636,0.08795117645126814,0.08795117645126814,0.3387360536156087,,
24,VKM,8,0.0005140838602486903,14.755144164396597,0.05541760098513442,7.748929728581257,0.0748919257360348,0.07489192573603479,0.32490084655418794,,
25,VKM,9,0.0023688502186955686,14.302186197273999,0.03967197205825958,7.522169074126793,0.05550014080691085,0.05550014080691083,0.30627781197997817,,
26,VKM,10,0.003230505893748115,13.404498567872576,0.04529724847610519,7.216513010237418,0.0574536591529698,0.05745365915296979,0.2949564044126208,,
27,GMM,2,0.020631317049264908,9.064790390716109,0.1497552788091596,59.63861846923828,0.11251147800875097,0.11251147800875097,0.5772593361031049,-3964567.0,-3699962.439235309
28,GMM,3,0.013338162563741207,9.318615579219125,0.12297237276996052,45.742462158203125,0.11510578055845735,0.11510578055845737,0.48782066907447363,-3964526.75,-3567616.6502563683
29,GMM,4,0.0007780333980917931,8.212312787237986,0.09541581938825797,42.1705436706543,0.1107328569235177,0.11073285692351768,0.42956631806306195,-3957310.0,-3428094.361277427
30,GMM,5,0.003958132117986679,7.995398349274585,0.0796186457955999,38.22293472290039,0.10904321785977884,0.10904321785977886,0.3865029733218328,-3949778.25,-3288257.0722984863
31,GMM,6,0.004844543058425188,7.6765069766343474,0.0670458528981748,34.819244384765625,0.0993970810194358,0.09939708101943581,0.35644339056448554,-3942575.0,-3148748.283319545
32,GMM,7,0.010477338917553425,7.282357469917876,0.05952952619290899,34.13224411010742,0.09036026404786729,0.09036026404786729,0.33770133219858006,-3943346.5,-3017214.244340604
33,GMM,8,0.004595390520989895,7.43155835702836,0.04780375126664139,29.746076583862305,0.0795557436241083,0.07955574362410829,0.30995226184008623,-3939617.0,-2881179.205361663
34,GMM,9,0.00724317179992795,7.087040499659751,0.049149241724360075,29.028751373291016,0.08365552206021656,0.08365552206021658,0.30637920647956063,-3945513.5,-2754770.1663827216
35,GMM,10,0.010699386708438396,6.752159755686657,0.04379028450622172,29.1087703704834,0.07711909895690142,0.07711909895690142,0.29364749437365684,-3962307.5,-2639258.627403781
